,available_beds_without_oxygen,hospital_name,amc_available_beds_with_oxygen,district,amc_occupied_beds_without_oxygen,private_occupied_beds_with_oxygen,available_icu_beds_with_ventilator,private_available_icu_beds_without_ventilator,available_icu_beds_without_ventilator,private_occupied_beds_without_oxygen,hospital_address,amc_occupied_beds_with_oxygen,private_available_beds_without_oxygen,private_occupied_icu_beds_without_ventilator,total_beds_with_oxygen,total_beds_without_oxygen,amc_available_beds_without_oxygen,area,total_icu_beds_with_ventilator,pincode,private_occupied_icu_beds_with_ventilator,amc_available_icu_beds_with_ventilator,amc_occupied_icu_beds_without_ventilator,amc_occupied_icu_beds_with_ventilator,available_beds_with_oxygen,amc_available_icu_beds_without_ventilator,private_available_beds_with_oxygen,total_icu_beds_without_ventilator,private_available_icu_beds_with_ventilator,hospital_phone,last_updated_on,hospital_poc_phone,charges,__delete__,hospital_poc_name,hospital_poc_designation,total_beds_allocated_to_covid,state,hospital_category,hospital_poc_email,facility_id,fee_regulated_beds,Notes,available_beds_allocated_to_covid,officer_name,officer_designation,bed_breakup,last_updated_time,last_updated_date
1570,5,Nijhara Hospital,,Delhi,,,-1,,-1,,"7/10, South Patel Nagar, New Delhi-110008",,,,2,7,,Delhi,-1,,,,,,0,,,-1,,9811075034,1621736100000.0,9811075034,Pvt,,,,,,Pvt,,,,,,,,,,
1571,17,Nirmal Hospital,,Delhi,,,-1,,-1,,"Kh.No.52/1/1/1, Main Burari road, Bakhtawarpur, Delhi-110036",,,,12,20,,Delhi,-1,,,,,,11,,,-1,,7290966054,1621742340000.0,7290966054,Pvt,,,,,,Pvt,,,,,,,,,,
1572,18,Nirmala Hospital,,Delhi,,,1,,1,,"RZ- E-20, Jai Vihar, Near D.K. Depot, Najafgarh, Delhi- 110043",,,,10,23,,Delhi,1,,,,,,7,,,3,,"9315514021,9953992177,7303523177",1621747080000.0,9315514021,Pvt,,,,,,Pvt,,,,,,,,,,
1573,20,Nirogi Charitable and Medical Research Trust,,Delhi,,,-1,,-1,,"3 HPL Patparganj Institutional Area, Patparganj, Delhi – 110092",,,,20,20,,Delhi,-1,,,,,,20,,,-1,,9868224733,1621751640000.0,9868224733,Pvt,,,,,,Pvt,,,,,,,,,,
1574,67,"NKS Hospital, Gulabi Bagh",,Delhi,,,0,,15,,"219, 220, Sanjay Nagar, Gulabi Bagh, Delhi, 110007, India",,,,82,82,,Delhi,2,110007,,,,,67,,,25,,"8130894500,01123666666",1621756380000.0,8130894500,Pvt,,,,,,Pvt,,,,,,,,,,
1575,55,Northern Railway,,Delhi,,,3,,3,,"NDCR Building, State Entry Rd, Railway Colony, New Delhi, Delhi 110006, India",,,,120,120,,Delhi,14,110006,,,,,55,,,14,,011-23341970,1621747080000.0,011-23341970,Central Govt,,,,,,Central Govt,,,,,,,,,,
1576,23,Nu life Hospital,,Delhi,,,-1,,-1,,"1616, Banda bahadur Marg police lines GTB Nagar delhi-110009",,,,48,48,,Delhi,-1,,,,,,23,,,-1,,47005555,1621147140000.0,47005555,Pvt,,,,,,Pvt,,,,,,,,,,
1577,17,Oncoplus Hospital,,Delhi,,,0,,3,,"A 288-290, Defence Colony, New Delhi",,,,43,43,,Delhi,5,,,,,,17,,,22,,8588909091,1621762560000.0,8588909091,Pvt,,,,,,Pvt,,,,,,,,,,
1578,31,"Panchsheel Hospital, Yamuna Vihar",,Delhi,,,-1,,6,,"C-3 63A, police station, opp. Gokalpuri, Block C, Yamuna Vihar, Shahdara, Delhi, 110053, India",,,,40,40,,Delhi,-1,110053,,,,,31,,,8,,"9717611842,9999434453,01143541234,01122914817,01143540604",1621758720000.0,9717611842,Pvt,,,,,,Pvt,,,,,,,,,,
1579,68,"Park Hospital, Meera Bagh",,Delhi,,,0,,0,,"Meera Enclave Outer Ring Road Near Kashopur, Bus Depot, New Chaukhandi, Vishnu Garden, New Delhi, Delhi 110018, India",,,,90,110,,Delhi,5,110018,,,,,48,,,40,,"01145323232,6262929271,7533033025",1621758060000.0,01145323232,Pvt,,,,,,Pvt,,,,,,,,,,
1580,14,Parmeshwari Devi Hospital,,Delhi,,,-1,,0,,"B Block Plot No 18, Masoodpur, Vasant Kunj",,,,18,18,,Delhi,-1,,,,,,14,,,1,,01126137999,1621745880000.0,01126137999,Pvt,,,,,,Pvt,,,,,,,,,,
1581,5,Patel Hospital,,Delhi,,,-1,,-1,,"U-158,Shakarpur, main Vikas marg, Delhi-110091  ",,,,10,10,,Delhi,-1,,,,,,5,,,-1,,8766298398,1621747920000.0,8766298398,Pvt,,,,,,Pvt,,,,,,,,,,
1582,3,Pentamed Hospital,,Delhi,,,2,,2,,"7, LSC, Derawal Nagar, Phase-IV, Delhi- 110009",,,,21,21,,Delhi,4,,,,,,3,,,6,,011-47014701,1621749300000.0,011-47014701,Pvt,,,,,,Pvt,,,,,,,,,,
1583,42,"PGH Hospital, Vikas Nagar",,Delhi,,,1,,7,,"Plot No. 89A,Vikasnagar Extn Phase-2, Shukkar Bazar Rd, Rajan Enclave, Block B, Uttam Nagar, New Delhi, Delhi 110059, India",,,,37,44,,Delhi,1,110059,,,,,35,,,7,,"9599198053,9599198054",1621744320000.0,9599198053,Pvt,,,,,,Pvt,,,,,,,,,,
1584,32,"Primus Super Specialty Hospital, Chanakyapuri",,Delhi,,,0,,2,,"Chandragupta Marg, Opp Russian Embassy, Chanakyapuri, New Delhi, Delhi 110021, India",,,,111,111,,Delhi,2,110021,,,,,32,,,61,,9910071222,1621750200000.0,9910071222,Pvt,,,,,,Pvt,,,,,,,,,,
1585,14,Pt.RRM Hospital,,Delhi,,,1,,2,,"Ground Floor, Plot No.3, Kh.No. 27/1, Near Vats Market, Village Bakkarwala, Delhi - 110041",,,,6,15,,Delhi,1,,,,,,5,,,2,,"9891761679,8287595266",1621746420000.0,9891761679,Pvt,,,,,,Pvt,,,,,,,,,,
1586,25,"Pushpanjali Medical Centre, Pushpanjali Enclave, Vikas Marg Ext.",,Delhi,,,0,,0,,"PUSHPANJALI medical center, A-14/15, Vikas Marg Ext, Pushpanjali, Karkardooma, Anand Vihar, New Delhi, Delhi 110092, India",,,,35,35,,Delhi,1,110092,,,,,25,,,10,,9818599728,1621759740000.0,9818599728,Pvt,,,,,,Pvt,,,,,,,,,,
1587,92,"Pushpawati Singhania Hospital, Saket",,Delhi,,,2,,12,,"Press Enclave Marg, J Pocket, Phase II, Sheikh Sarai, New Delhi, Delhi 110017, India",,,,168,168,,Delhi,10,110017,,,,,92,,,38,,9717159780,1621762440000.0,9717159780,Pvt,,,,,,Pvt,,,,,,,,,,
1588,98,"RADHA SOAMI SATSANG BEAS , COVID CARE CENTRE, ASHOK NAGAR ",,Delhi,,,-1,,-1,,"RADHA SOAMI SATSANG BEAS , ASHOK NAGAR , NEW DELHI",,,,25,100,,Delhi,-1,,,,,,23,,,-1,,9718990195,1621754400000.0,9718990195,Delhi Govt,,,,,,Delhi Govt,,,,,,,,,,
1589,80,Rajan Babu Institute of Pulmonary  Medicine and tuberculosis,,Delhi,,,-1,,-1,,Kingsway Camp   New Delhi-110009,,,,100,100,,Delhi,-1,,,,,,80,,,-1,,7291984162,1621761000000.0,7291984162,Central Govt,,,,,,Central Govt,,,,,,,,,,
1590,530,Rajeev Gandhi Super Speciality Hospital,,Delhi,,,55,,205,,"Taharpur Rd, Taharpur, Taharpur Village, Dilshad Garden, New Delhi, Delhi 110093, India",,,,325,650,,Delhi,175,110093,,,,,205,,,325,,"01122890773,01122890789,01122890611,8595524745",1621761540000.0,01122890773,Delhi Govt,,,,,,Delhi Govt,,,,,,,,,,
1591,169,"Rajiv Gandhi Cancer Institute & RC, Rohini*",,Delhi,,,0,,2,,"Sir Chotu Ram Marg, Rohini Institutional Area, Sector 5, Rohini, New Delhi, Delhi 110085, India",,,,230,230,,Delhi,5,110085,,,,,169,,,40,,"9717888473,0114722666",1621757880000.0,9717888473,Pvt,,,,,,Pvt,,,,,,,,,,
1592,190,Ram Manohar Lohia Hospital,,Delhi,,,0,,0,,"Baba Kharak Singh Rd, near Gurudwara Bangla Sahib, Ram Manohar Lohia Hospital, Type III, Connaught Place, New Delhi, Delhi 110001, India",,,,323,323,,Delhi,28,110001,,,,,190,,,28,,01123365525,1621740300000.0,01123365525,Central Govt,,,,,,Central Govt,,,,,,,,,,
1593,66,"Rathi Hospital, Najafgarh",,Delhi,,,2,,16,,"3, Nangloi - Najafgarh Rd, near kali mata mandir, Pratap Vihar, Ranhola, New Delhi, Delhi 110041, India",,,,80,80,,Delhi,4,110041,,,,,66,,,25,,"9871173355,9711991234,9582595428",1621757280000.0,9871173355,Pvt,,,,,,Pvt,,,,,,,,,,
1594,15,Rescue Hospital,,Delhi,,,-1,,0,,"S-5, Vishvas Park, Behind Sector-3, Dwarka Petrol Pump, New Delhi - 110059",,,,20,38,,Delhi,-1,,,,,,15,,,18,,9711960667,1621750260000.0,9711960667,Pvt,,,,,,Pvt,,,,,,,,,,
1595,12,"Revive Hospital,tilak nagar",,Delhi,,,1,,12,,"5A/2, 491, opp. Metro Pillar No, near Police Station, Block 5A, Tilak Nagar, New Delhi, Delhi 110018, India",,,,28,28,,Delhi,1,110018,,,,,12,,,15,,"9891534100,9718932941",1621759620000.0,9891534100,Pvt,,,,,,Pvt,,,,,,,,,,
1596,37,"RLKC Metro Hospital, Naraina",,Delhi,,,0,,8,,"Pandav Nagar, Naraina Road, Near Shadipur Metro Station, New Patel Nagar, Shadipur, New Delhi, Delhi 110008, India",,,,52,70,,Delhi,1,110008,,,,,23,,,18,,"01161316666,9910488472",1621762320000.0,01161316666,Pvt,,,,,,Pvt,,,,,,,,,,
1597,22,ROSEWOOD HOSPITAL,,Delhi,,,-1,,2,,"5, JL BLOCK, ROSHAN GARDEN, NAJAFGARH, NEW DELHI-43",,,,12,25,,Delhi,-1,,,,,,11,,,4,,"9990045967,9990046258",1621739880000.0,9990045967,Pvt,,,,,,Pvt,,,,,,,,,,
1598,16,Royal Kalindi Hospital,,Delhi,,,1,,3,,"89, Pocket-I, Jasola Vihar, New Delhi - 110025",,,,26,26,,Delhi,1,,,,,,16,,,3,,9810039938,1621743900000.0,9810039938,Pvt,,,,,,Pvt,,,,,,,,,,
1599,23,RS Grover Memorial Hospital,,Delhi,,,-1,,4,,"B-239, Priyadarshani Vihar, Delhi - 110092",,,,24,24,,Delhi,-1,,,,,,23,,,4,,"01122507666,01145054901,01143094672",1621738320000.0,01122507666,Pvt,,,,,,Pvt,,,,,,,,,,
1600,299,Safdarjung Hospital,,Delhi,,,34,,34,,"Ansari Nagar East, near to AIIMS Metro Station, Safdarjung Campus, Ansari Nagar West, New Delhi, Delhi 110029, India",,,,341,421,,Delhi,80,110029,,,,,265,,,80,,01126730000,1621740540000.0,01126730000,Central Govt,,,,,,Central Govt,,,,,,,,,,
1601,21,Sai Charitable Dispensary,,Delhi,,,-1,,-1,,"A-86, Jagatpuri, 100 Foota Road, Durgapuri Chowk, Delhi-110093",,,,15,25,,Delhi,-1,,,,,,11,,,-1,,"8287366488,8375915505",1621742220000.0,8287366488,Pvt,,,,,,Pvt,,,,,,,,,,
1602,16,SAMA HOSPITAL,,Delhi,,,0,,0,,"8, Siri Fort Road, New Delhi-110049",,,,32,32,,Delhi,3,,,,,,16,,,3,,1143111888,1621746840000.0,1143111888,Pvt,,,,,,Pvt,,,,,,,,,,
1603,30,"Samar Hospital, Dwarka",,Delhi,,,0,,3,,"Opp. St. Thomas School, Goyla Vihar, Sector 19, Dwarka, Najafgarh, New Delhi, Delhi 110071, India",,,,35,35,,Delhi,1,110071,,,,,30,,,6,,"9818096199,9213210218",1621758720000.0,9818096199,Pvt,,,,,,Pvt,,,,,,,,,,
1604,83,Sanjay Gandhi Memorial Hospital,,Delhi,,,28,,28,,"Block U, Mangolpuri S Block, Delhi, 110083",,,,150,150,,Delhi,70,,,,,,83,,,70,,01127913220,1621758240000.0,01127913220,Delhi Govt,,,,,,Delhi Govt,,,,,,,,,,
1605,32,"Sanjeevan Medical Res. , Daryaganj",,Delhi,,,0,,0,,"24, Ansari Rd, Daryaganj, New Delhi, Delhi 110002, India",,,,36,40,,Delhi,4,110002,,,,,32,,,4,,"9810203358,01145770000",1621759320000.0,9810203358,Pvt,,,,,,Pvt,,,,,,,,,,
1606,960,Sant Nirankari Covid Care and Treatment centre burari,,Delhi,,,-1,,-1,,Burari Hospital (Nodal Aseem Taneja),,,,844,1044,,Delhi,-1,,,,,,760,,,-1,,6398377083,1621759020000.0,6398377083,Delhi Govt,,,,,,Delhi Govt,,,,,,,,,,
1607,40,"Sant Parmanand Hospital, Civil Lines",,Delhi,,,-1,,6,,"18, Sham Nath Marg, Civil Lines, New Delhi, Delhi 110054, India",,,,45,60,,Delhi,-1,110054,,,,,34,,,15,,"01123994401,01123994402,01123926465",1621758720000.0,01123994401,Pvt,,,,,,Pvt,,,,,,,,,,
1608,13,Sant Soham Hospital,,Delhi,,,-1,,-1,,"H-2/31 Sector 11, Rohini Delhi - 110085",,,,10,15,,Delhi,-1,,,,,,8,,,-1,,"011-41718460,9667248485",1621758480000.0,011-41718460,Pvt,,,,,,Pvt,,,,,,,,,,
1609,7,"Santom Hospital, Prashant Vihar",,Delhi,,,0,,4,,"D-5-6, Outer Ring Rd, Prashant Vihar, Sector 14, Rohini, New Delhi, Delhi 110085, India",,,,63,63,,Delhi,8,110085,,,,,7,,,35,,"01127562255,01127561024",1621752360000.0,01127562255,Pvt,,,,,,Pvt,,,,,,,,,,
1610,331,Sardar Vallabhbhai Patel Covid hospital (DRDO),,Delhi,,,55,,55,,Delhi,,,,500,500,,Delhi,128,,,,,,331,,,128,,7303885606,1621744380000.0,7303885606,Central Govt,,,,,,Central Govt,,,,,,,,,,
1611,48,Saroj Super Speciality Hospital,,Delhi,,,1,,10,,"Bhagawan Mahavir Marg, Near Madhuban Chowk, Block A, Sector 14, Rohini, New Delhi, Delhi 110085, India",,,,150,150,,Delhi,30,110085,,,,,48,,,63,,"01127903333,01147903333",1621762500000.0,01127903333,Pvt,,,,,,Pvt,,,,,,,,,,
1612,8,SATYA MULTISPECIALITY HOSPITAL,,Delhi,,,-1,,1,,"Pipal Wala Rd, Block E, Bhagwati Garden, Nawada, New Delhi, Delhi 110059, India",,,,10,16,,Delhi,-1,110059,,,,,4,,,3,,8585938406,1621750800000.0,8585938406,Pvt,,,,,,Pvt,,,,,,,,,,
1613,16,"Satyabhama Hospital, Nangloi",,Delhi,,,0,,6,,"RZ-10, Naresh Park, Najafgarh Road, Nangloi, Near Water Tank, Ahir Mohalla, Nangloi Jat, Nangloi, New Delhi, Delhi 110041, India",,,,42,42,,Delhi,4,110041,,,,,16,,,32,,"9311116607,8506008075,01124943107,01125942303",1621757280000.0,9311116607,Pvt,,,,,,Pvt,,,,,,,,,,
1614,158,Satyawati Harishchand Hsopital,,Delhi,,,0,,3,,"Satyawadi raja harish chandar hospital Campus, Sector A7, Narela, Delhi, 110040, India",,,,200,225,,Delhi,5,110040,,,,,155,,,25,,"01127787008,01127781044,01127781045,01127781046,01127781047",1621760040000.0,01127787008,Delhi Govt,,,,,,Delhi Govt,,,,,,,,,,
1615,15,Savitri Hospital,,Delhi,,,-1,,7,,"Kanjhawala Rd, Uday Vihar Colony, Karala, Delhi, 110081, India",,,,20,25,,Delhi,-1,110081,,,,,12,,,13,,"9810777351,9818709813,9958375050,9810777357",1621667100000.0,9810777351,Pvt,,,,,,Pvt,,,,,,,,,,
1616,3,SCI International Hospital,,Delhi,,,-1,,-1,,"4, Greater Kailash-1, M Block, Greater Kailash I, Greater Kailash, New Delhi, Delhi 110048",,,,8,8,,Delhi,-1,,,,,,3,,,-1,,9999446622,1621750020000.0,9999446622,Pvt,,,,,,Pvt,,,,,,,,,,
1617,43,"Sehgal Neo Hospital, Paschim Vihar",,Delhi,,,-1,,0,,"B-362, 363, 364, Outer Ring Rd, Near to ICICI Bank, Block B, Meera Bagh, Paschim Vihar, New Delhi, Delhi 110063, India",,,,60,80,,Delhi,-1,110063,,,,,36,,,13,,"8527597171,01145565656",1621757460000.0,8527597171,Pvt,,,,,,Pvt,,,,,,,,,,
1618,20,"Shakuntala Nursing Home, West Sagarpur",,Delhi,,,-1,,0,,"RZ-I-81A, RZ Block Road, Sagar Pur, Block E, Dabri, New Delhi, Delhi 110046, India",,,,15,30,,Delhi,-1,110046,,,,,10,,,5,,"9211783762,9211783761",1621758000000.0,9211783762,Pvt,,,,,,Pvt,,,,,,,,,,
1619,71,"Shanti Mukand Hospital, Vikas Marg Extn.",,Delhi,,,0,,5,,"2, Institutional Area, Bhartendu Harish Chandra Marg, Vikas Marg Extension, Karkardooma, Anand Vihar, New Delhi, Delhi 110092, India",,,,94,110,,Delhi,8,110092,,,,,55,,,24,,"01147276600,01147276632,01147276627",1621761660000.0,01147276600,Pvt,,,,,,Pvt,,,,,,,,,,
1620,93,SHEHNAI LNH EXTENSION,,Delhi,,,-1,,-1,,"OPP. LNH, JAWAHARLAL NEHRU MARG, NEW DELHI-110002",,,,71,100,,Delhi,-1,,,,,,69,,,-1,,22222323,1621751160000.0,22222323,Delhi Govt,,,,,,Delhi Govt,,,,,,,,,,
1621,82,"Shree Agarsain International Hospital, Rohini- 22",,Delhi,,,0,,4,,"PSP Aman Vihar, Police Station, CH Bhim Singh Nambardar Marg, Pocket 5, Sector 22, Rohini, New Delhi, Delhi 110086, India",,,,125,175,,Delhi,25,110086,,,,,78,,,50,,"9625941440,01166636600,01145911911",1621752480000.0,9625941440,Pvt,,,,,,Pvt,,,,,,,,,,
1622,,Shree Hospital,,,,,,,,,"Plot no. 12A, Roshan Garden, Najafgarh New Delhi - 110043",,,,,,,,,,,,,,,,,,,,1621759680000.0,9953882204,,,,,,,,,,,,,,,,,
1623,39,"Shri Ram Singh Hospital, Krishna Nagar",,Delhi,,,0,,2,,"B-25 26 26a, Swarn Cinema Road, East Krishna Nagar, Block B, East Krishna Nagar, Krishna Nagar, Delhi, 110051, India",,,,20,50,,Delhi,1,110051,,,,,14,,,7,,9811100764,1621740840000.0,9811100764,Pvt,,,,,,Pvt,,,,,,,,,,
1624,16,Shrine Hospital,,Delhi,,,-1,,2,,"Shahbad Extension, Bawana Road, Rohini",,,,17,17,,Delhi,-1,,,,,,16,,,3,,"8800300066,7982647396,8882170394,011-27290925",1621757760000.0,8800300066,Pvt,,,,,,Pvt,,,,,,,,,,
1625,23,SINGHAL HOSPITAL,,Delhi,,,-1,,5,,"C-40, St No. 9, Sadh Nagar, Palam Colony, New Delhi- 110045",,,,17,27,,Delhi,-1,,,,,,15,,,7,,"7834979991,7834979994",1621759020000.0,7834979991,Pvt,,,,,,Pvt,,,,,,,,,,
1626,4,Singhal Medical  Centre,,Delhi,,,-1,,-1,,"E-4/3, Krishna Nagar, Delhi - 110051",,,,6,10,,Delhi,-1,,,,,,2,,,-1,,"01122095305,01122095306,01122095307,01122095308",1621753740000.0,01122095305,Pvt,,,,,,Pvt,,,,,,,,,,
1627,48,Sir Ganga Ram City Hospital,,Delhi,,,0,,0,,"Sir Ganga Ram Hospital Marg, Old Rajinder Nagar, New Rajinder Nagar, New Delhi, Delhi 110060, India",,,,96,96,,Delhi,15,110060,,,,,48,,,15,,01142255555,1621759620000.0,01142255555,Pvt,,,,,,Pvt,,,,,,,,,,
1628,68,Sir Ganga Ram Hospital,,Delhi,,,0,,26,,"Sir Ganga Ram Hospital Marg, Old Rajinder Nagar, New Rajinder Nagar, New Delhi, Delhi 110060, India",,,,396,396,,Delhi,74,110060,,,,,68,,,157,,"01142253001,01142253002,01142253003,9311407393,9311407391",1621757880000.0,01142253001,Pvt,,,,,,Pvt,,,,,,,,,,
1629,35,"Sitaram Bhartia Institute of Science & Res., Qutab Institutional Area",,Delhi,,,-1,,2,,"B-16, NRPC Colony, Block B, Qutab Institutional Area, New Delhi, Delhi 110016, India",,,,44,44,,Delhi,-1,110016,,,,,35,,,6,,"01142111111,9717894727,9717490249",1621762920000.0,01142111111,Pvt,,,,,,Pvt,,,,,,,,,,
1630,35,"SMS Hospital, Gagan Vihar",,Delhi,,,1,,5,,"15, Gagan Vihar Main Rd, Gagan Vihar, Krishna Nagar, Delhi, 110051, India",,,,15,36,,Delhi,1,110051,,,,,15,,,5,,"01122505116,8076956969",1621756500000.0,01122505116,Pvt,,,,,,Pvt,,,,,,,,,,
1631,107,"Sri Balaji Action Medical Inst., Paschim Vihar",,Delhi,,,0,,24,,"A 4 Block, A 6 Block, Paschim Vihar, New Delhi, Delhi 110063, India",,,,220,220,,Delhi,8,110063,,,,,107,,,95,,"9999174129,01142888888",1621760820000.0,9999174129,Pvt,,,,,,Pvt,,,,,,,,,,
1632,232,"St. Stephens Hospital, Tis Hazari",,Delhi,,,0,,0,,"St. Stephen's Hospital Marg, Railway Colony, Tis Hazari, New Delhi, Delhi 110054, India",,,,336,336,,Delhi,8,110054,,,,,232,,,32,,01123966021,1621760820000.0,01123966021,Pvt,,,,,,Pvt,,,,,,,,,,
1633,2,SUKHMANI HOSPITAL,,Delhi,,,-1,,-1,,"B-7 EXTENSION/126A, Safdarjung Enclave, New Delhi-110029",,,,4,4,,Delhi,-1,,,,,,2,,,-1,,26194000,1621484760000.0,26194000,Pvt,,,,,,Pvt,,,,,,,,,,
1634,10,Sunrise Hospital,,Delhi,,,-1,,-1,,"Plot no-1, Pocket-8b, Sector-15, Rohini, Delhi.",,,,13,14,,Delhi,-1,,,,,,9,,,-1,,"011-27894781,7982264816",1621750200000.0,011-27894781,Pvt,,,,,,Pvt,,,,,,,,,,
1635,21,Sunrise Hospital (A Unit of Trinity Sunrise Healthcare Pvt.Ltd.,,Delhi,,,3,,4,,"F-1, Kalindi Colony, Near Maharani Bagh, New Delhi",,,,18,22,,Delhi,3,,,,,,18,,,4,,01148820000,1621751400000.0,01148820000,Pvt,,,,,,Pvt,,,,,,,,,,
1636,35,"Surya Hospital, Krishna Nagar",,Delhi,,,-1,,5,,"383/11-C, East Azad Nagar, East Krishna Nagar, Block E, Krishna Nagar, New Delhi, Delhi 110051, India",,,,30,40,,Delhi,-1,110051,,,,,25,,,5,,"9810198845,7217607103",1621761000000.0,9810198845,Pvt,,,,,,Pvt,,,,,,,,,,
1637,28,SURYA KIRAN HOSPITAL,,Delhi,,,0,,4,,"Roshan Mandi, Masudabad, Najafgarh, New Delhi, Delhi 110043, India",,,,15,40,,Delhi,1,110043,,,,,5,,,10,,011-25322335,1621758180000.0,011-25322335,Pvt,,,,,,Pvt,,,,,,,,,,
1638,48,Sushila Hospial,,Delhi,,,-1,,10,,"Plot No-109, Gali no.9, Safiabad Rd, Gautam Colony, Narela, New Delhi, Delhi 110040, India",,,,30,50,,Delhi,-1,110040,,,,,28,,,10,,"9999390291,9811494085",1621751820000.0,9999390291,Pvt,,,,,,Pvt,,,,,,,,,,
1639,43,Swami Dayanand,,Delhi,,,-1,,-1,,"Shahdara North Zone, C-Block, Dilshad Garden, Adjacent Landmark : IHBAS cum GTBH, UCMS, GTB Enclave, Dilshad Garden, New Delhi, Delhi 110095, India",,,,-1,70,,Delhi,-1,110095,,,,,-1,,,-1,,"011-22110065,011-22581031,011-22581036",1621742520000.0,011-22110065,Central Govt,,,,,,Central Govt,,,,,,,,,,
1640,25,Swasthik Hospital,,Delhi,,,2,,6,,"A-9, Raghuvir Enclave, Nangloi Stand, Dichaon Chowk, Najafgarh, New Delhi - 110043",,,,30,30,,Delhi,2,,,,,,25,,,8,,9990297576,1621737720000.0,9990297576,Pvt,,,,,,Pvt,,,,,,,,,,
1641,27,"Tarak Hospital, Uttam Nagar",,Delhi,,,3,,10,,"C-7,Jai Bharat Enclave , Dwarka More, New Delhi, Najafgarh Rd, Block C, Vipin Garden, Dwarka, Delhi, 110059, India",,,,42,72,,Delhi,5,110059,,,,,17,,,30,,"8285882288,9643681681",1621750800000.0,8285882288,Pvt,,,,,,Pvt,,,,,,,,,,
1642,63,Tilak Nagar CHC,,Delhi,,,-1,,-1,,"Tilak Nagar Colony Hospital, Main Market, Tilak Nagar, New Delhi - 110018",,,,50,64,,Delhi,-1,,,,,,49,,,-1,,8448977018,1621741380000.0,8448977018,Central Govt,,,,,,Central Govt,,,,,,,,,,
1643,95,"Tirath Ram Shah Charitable Hospital, Civil Lines",,Delhi,,,0,,0,,"2A Isher Das Sawhney Marg Near Tis Hazari Metro Station R.B.L, Kamla Nehru Ridge, Civil Lines, New Delhi, Delhi 110054, India",,,,127,136,,Delhi,2,110054,,,,,86,,,16,,"8375975629,01123948484",1621754280000.0,8375975629,Pvt,,,,,,Pvt,,,,,,,,,,
1644,10,Triton Hospital,,Delhi,,,-1,,-1,,"CC-31, Nehru Enclave, Kalkaji, New Delhi - 110019",,,,10,10,,Delhi,-1,,,,,,10,,,-1,,01146056464,1621753980000.0,01146056464,Pvt,,,,,,Pvt,,,,,,,,,,
1645,40,Tulsi Multispeciality Hospital & Critical Care Unit,,Delhi,,,1,,2,,"B-1, Loni Rd, West Jyoti Nagar, Oldanpur, Block B, Balbir Nagar, Shahdara, New Delhi, Delhi 110094, India",,,,15,40,,Delhi,1,110094,,,,,15,,,2,,"8410445275,8368769040,9650203070",1621753140000.0,8410445275,Pvt,,,,,,Pvt,,,,,,,,,,
1646,7,TYAGI NURSING HOME,,Delhi,,,3,,5,,"66/3 & 66/4, ASHOK NAGAR, TILAK NAGAR, NEW DLEHI - 110018",,,,15,15,,Delhi,3,,,,,,7,,,10,,7065050403,1621744500000.0,7065050403,Pvt,,,,,,Pvt,,,,,,,,,,
1647,27,"Universal Centre of Health services, Kalkaji",,Delhi,,,2,,10,,"TA-93A, BUS STOP, 93-B, Guru Ravidas Marg, near PNB BANK , 429, DDA Flats Kalkaji, Kalkaji Extension, Block A 8, Kalkaji, New Delhi, Delhi 110019, India",,,,35,35,,Delhi,2,110019,,,,,27,,,10,,"8800800500,8800128128,7065040315,7065040308",1621758840000.0,8800800500,Pvt,,,,,,Pvt,,,,,,,,,,
1648,120,"Venkateshwar Hospital, Dwarka",,Delhi,,,0,,0,,"Sector 18, Sector 18A Dwarka, Dwarka, New Delhi, Delhi 110075, India",,,,225,225,,Delhi,8,110075,,,,,120,,,56,,7290072997,1621758060000.0,7290072997,Pvt,,,,,,Pvt,,,,,,,,,,
1649,32,"Vikas Hospital, Najafgarh",,Delhi,,,2,,4,,"1629–H, Thana Road, Najafgarh, New Delhi, Delhi 110043, India",,,,40,40,,Delhi,3,110043,,,,,32,,,11,,"8744077882,9810674306",1621756800000.0,8744077882,Pvt,,,,,,Pvt,,,,,,,,,,
1650,65,VIMHANS,,Delhi,,,0,,42,,"1, Rouse Ave Institutional Area Rd, Nehru Nagar, Lajpat Nagar, New Delhi, Delhi 110065, India",,,,160,160,,Delhi,48,110065,,,,,65,,,130,,"01166176617,9873422574,9643306023",1621743000000.0,01166176617,Pvt,,,,,,Pvt,,,,,,,,,,
1651,10,Warda Hospital,,Delhi,,,-1,,-1,,"G-52, Abul Fazal Enclave-II, Shaheen Bagh, Jamia Nagar, Okhla, New Delhi – 110025",,,,10,10,,Delhi,-1,,,,,,10,,,-1,,"9311656559,9911344599",1621745460000.0,9311656559,Pvt,,,,,,Pvt,,,,,,,,,,
1652,33,World Brain Center Hospital,,Delhi,,,1,,3,,"Pankha Road, near, Dabri Crossing Roundabout, opp. Janak Cinema Complex, Block H, Raghu Nagar, Janakpuri, New Delhi, Delhi 110045, India",,,,31,45,,Delhi,1,110045,,,,,19,,,10,,"01125391266,01125393347,9968788865",1621748040000.0,01125391266,Pvt,,,,,,Pvt,,,,,,,,,,
1653,18779,All,,Delhi,,,487,,2234,,"F/129, Main Market, Block F, Rajouri Garden, New Delhi, Delhi 110027, India",,,,24608,28676,,Delhi,2574,110027,,,,,15350,,,6933,,,0.0,,,,,,,,,,,,,,,,,,
